Outbound: Paris ➜ Barcelona,Wednesday 01 August,-,-,-
Outbound: Paris ➜ Barcelona,Tuesday 14 August,13:00 ➜ 10:15,21h15, 1 change,€69.60
Outbound: Paris ➜ Barcelona,Tuesday 14 August,14:00 ➜ 02:05,36h05, 2 changes,€103.00
Outbound: Paris ➜ Barcelona,Tuesday 14 August,14:07 ➜ 20:34,6h27, 0 changes,€119.00
Outbound: Paris ➜ Barcelona,Tuesday 14 August,14:30 ➜ 05:45,15h15, 0 changes,€80.00
Outbound: Paris ➜ Barcelona,Tuesday 14 August,15:00 ➜ 07:55,16h55, 1 change,€67.98
Outbound: Paris ➜ Barcelona,Tuesday 14 August,16:07 ➜ 22:44,6h37, 0 changes,€109.00
Outbound: Paris ➜ Barcelona,Wednesday 15 August,07:15 ➜ 13:34,6h19, 0 changes,€129.00
Outbound: Paris ➜ Barcelona,Wednesday 15 August,07:15 ➜ 19:31,12h16, 1 change,€99.99
Outbound: Paris ➜ Barcelona,Wednesday 15 August,08:00 ➜ 02:40,18h40, 1 change,€94.00
Outbound: Paris ➜ Barcelona,Wednesday 15 August,09:00 ➜ 09:45,24h45, 1 change,€88.40
Outbound: Paris ➜ Barcelona,Wednesday 15 August,10:00 ➜ 05:35,19h35, 1 change,€57.00
Outbound: Paris ➜ Barcelona,Wednesday 15 August,10:00 ➜ 09:45,23h45, 2 changes,€76.40
Outbound: Paris ➜ Barcelona,Wednesday 15 August,10:07 ➜ 16:34,6h27, 0 changes,€139.00
Outbound: Paris ➜ Barcelona,Wednesday 15 August,10:59 ➜ 19:31,8h32, 1 change,€125.00
Outbound: Paris ➜ Barcelona,Wednesday 15 August,12:30 ➜ 10:15,21h45, 1 change,€78.60
Outbound: Paris ➜ Barcelona,Wednesday 15 August,13:00 ➜ 06:15,17h15, 1 change,€89.98
Outbound: Paris ➜ Barcelona,Wednesday 15 August,13:00 ➜ 10:15,21h15, 1 change,€71.60
Outbound: Paris ➜ Barcelona,Wednesday 15 August,14:00 ➜ 07:55,17h55, 1 change,€57.98
Outbound: Paris ➜ Barcelona,Wednesday 15 August,14:07 ➜ 20:34,6h27, 0 changes,€119.00
Outbound: Paris ➜ Barcelona,Thursday 16 August,07:00 ➜ 09:45,26h45, 1 change,€101.00
Outbound: Paris ➜ Barcelona,Thursday 16 August,07:00 ➜ 10:15,27h15, 1 change,€93.00
Outbound: Paris ➜ Barcelona,Thursday 16 August,07:15 ➜ 13:34,6h19, 0 changes,€139.00
Outbound: Paris ➜ Barcelona,Thursday 16 August,07:15 ➜ 19:31,12h16, 1 change,€103.99
Outbound: Paris ➜ Barcelona,Thursday 16 August,10:00 ➜ 09:45,23h45, 2 changes,€92.20
Outbound: Paris ➜ Barcelona,Thursday 16 August,10:07 ➜ 16:34,6h27, 0 changes,€154.00
Outbound: Paris ➜ Barcelona,Thursday 16 August,10:59 ➜ 19:31,8h32, 1 change,€125.00
Outbound: Paris ➜ Barcelona,Thursday 16 August,12:15 ➜ 08:25,20h10, 0 changes,€88.00
Outbound: Paris ➜ Barcelona,Thursday 16 August,13:00 ➜ 06:15,17h15, 1 change,€63.98
Outbound: Paris ➜ Barcelona,Thursday 16 August,13:00 ➜ 10:15,21h15, 1 change,€83.00
Outbound: Paris ➜ Barcelona,Thursday 16 August,14:00 ➜ 02:05,36h05, 2 changes,€108.00
Outbound: Paris ➜ Barcelona,Thursday 16 August,14:07 ➜ 20:34,6h27, 0 changes,€119.00
Outbound: Paris ➜ Barcelona,Thursday 16 August,14:30 ➜ 05:45,15h15, 0 changes,€70.00
Outbound: Paris ➜ Barcelona,Thursday 16 August,15:20 ➜ 07:55,16h35, 1 change,€57.98
